Jogada,Tabuleiro,Resultado
X,"[-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0
O,"[-1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0
X,"[-1.0, 0.0, 0.0, 1.0, 0.0, 0.0, -1.0, 0.0, 0.0]",0.0
O,"[-1.0, 0.0, 0.0, 1.0, 0.0, 0.0, -1.0, 1.0, 0.0]",0.0
X,"[-1.0, 0.0, 0.0, 1.0, -1.0, 0.0, -1.0, 1.0, 0.0]",0.0
O,"[-1.0, 1.0, 0.0, 1.0, -1.0, 0.0, -1.0, 1.0, 0.0]",0.0
X,"[-1.0, 1.0, -1.0, 1.0, -1.0, 0.0, -1.0, 1.0, 0.0]",0.0
X,"[0.0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, 0.0, 0.0]",0.0
O,"[0.0, 0.0, 0.0, 1.0, -1.0, 0.0, 0.0, 0.0, 0.0]",0.0
X,"[0.0, 0.0, 0.0, 1.0, -1.0, 0.0, -1.0, 0.0, 0.0]",0.0
O,"[1.0, 0.0, 0.0, 1.0, -1.0, 0.0, -1.0, 0.0, 0.0]",0.0
X,"[1.0, -1.0, 0.0, 1.0, -1.0, 0.0, -1.0, 0.0, 0.0]",0.0
O,"[1.0, -1.0, 1.0, 1.0, -1.0, 0.0, -1.0, 0.0, 0.0]",0.0
X,"[1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 0.0, 0.0]",0.0
O,"[1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 0.0, 1.0]",0.0
X,"[1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0]",0.0
O,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
X,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, -1.0, 0.0]",0.0
O,"[0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, -1.0, 0.0]",0.0
X,"[0.0, -1.0, 0.0, 1.0, 1.0, 0.0, 0.0, -1.0, 0.0]",0.0
